Furnace_temperature;Exist_temperature;Annealing_temperature;Thickness;Width;Sulfur_content;Copper_content;Nickel_content;Chromium_content;Molybdenum_content;Vanadium_content;Niobium_content;Total_Al_content;Acid_soluble_Al_content;Titanium_content;Boron_content;Tin_content;Arsenic_content;Zirconium_content;Calcium_content;Lead_content;Ceq;Pcm;Antimony_content;Nitrogen_content;Oxygen_content;Tungsten_content;yield-strength;tensile-strength;elongation
1216;844;551;7.8;1240;0.0031;0.0141;0.0057;0.0156;0.0004;0.0001;0.0525;0.0294;0.0286;0.034;0.0;0.0028;0.0027;0.0035;0.0008;0.0025;0.3394;0.1647;0.0011;0.006;0.0;0.0;623;674;22.5
1192;839;588;3.75;1300;0.0041;0.014;0.0055;0.0155;0.0007;0.0007;0.0004;0.0316;0.0292;0.04;0.0001;0.0007;0.0028;0.0028;0.0007;0.0001;0.171;0.0949;0.0009;0.004;0.0;0.0;384;439;35.5
1211;876;620;2.0;920;0.0097;0.0106;0.0064;0.0123;0.0026;0.0001;0.0001;0.0315;0.0295;0.0002;0.0014;0.0019;0.0024;0.0005;0.0003;0.0005;0.0679;0.0523;0.0004;0.001;0.002;0.0;210;311;45.0
1239;864;549;3.0;1126;0.0022;0.0131;0.0051;0.0141;0.0016;0.0009;0.0138;0.032;0.0311;0.0809;0.0001;0.002;0.0026;0.0022;0.0025;0.0017;0.2406;0.1161;0.0006;0.005;0.0;0.0;652;674;24.0
1169;847;571;3.0;1080;0.0102;0.0109;0.0053;0.0131;0.0001;0.0001;0.0007;0.0303;0.0277;0.0012;0.0001;0.0026;0.0028;0.0009;0.0006;0.0002;0.2;0.17;0.0001;0.0;0.0;0.0;400;485;34.0
1217;871;597;4.0;1145;0.002;0.0167;0.0074;0.0259;0.0055;0.0004;0.0259;0.03;0.0284;0.027;0.0001;0.0011;0.003;0.0014;0.0004;0.0001;0.2731;0.135;0.0007;0.004;0.0;0.0;519;573;33.5
1182;890;589;2.75;870;0.0072;0.0123;0.0071;0.0151;0.0017;0.0001;0.0001;0.0442;0.042;0.0003;0.0001;0.0026;0.0025;0.0;0.0001;0.0001;0.12;0.09;0.0021;0.003;0.0;0.0;283;388;44.5
1172;831;546;6.55;1250;0.0067;0.0112;0.0068;0.016;0.0001;0.0001;0.0005;0.0299;0.0273;0.0005;0.0;0.0011;0.0031;0.0034;0.0006;0.0001;0.2311;0.124;0.0006;0.003;0.0;0.0;344;431;47.5
1187;902;677;2.75;1270;0.0073;0.0157;0.0114;0.0161;0.0021;0.0001;0.0003;0.0305;0.0257;0.0506;0.0001;0.004;0.0029;0.0;0.0001;0.0002;0.02;0.01;0.002;0.001;0.003;0.0;194;294;56.5
1222;876;588;2.8;1090;0.0012;0.0121;0.012;0.9808;0.1494;0.0027;0.0032;0.0231;0.0198;0.0026;0.0003;0.0012;0.0027;0.0034;0.0026;0.0001;0.4885;0.2496;0.0006;0.005;0.0;0.0;503;640;25.5
1129;871;656;2.75;1040;0.0033;0.0073;0.0049;0.013;0.0009;0.0001;0.0009;0.2261;0.2254;0.0005;0.0002;0.0021;0.002;0.0001;0.0002;0.0001;0.05;0.05;0.0016;0.002;0.001;0.0;252;405;40.0
1182;812;559;7.75;1500;0.0093;0.0105;0.0061;0.0109;0.0025;0.0001;0.0001;0.0304;0.029;0.0007;0.0001;0.001;0.0021;0.0005;0.0003;0.0001;0.2091;0.1602;0.0001;0.003;0.0;0.0;318;427;31.0
